"line","lyric","element","element_artist"
1,"Gleaming, twinkling","Intro","Taylor Swift"
2,"Eyes like sinking ships on waters","Intro","Taylor Swift"
3,"So inviting, I almost jump in","Intro","Taylor Swift"
4,"But I don't like a gold rush, gold rush","Chorus","Taylor Swift"
5,"I don't like anticipatin' my face in a red flush","Chorus","Taylor Swift"
6,"I don't like that anyone would die to feel your touch","Chorus","Taylor Swift"
7,"Everybody wants you","Chorus","Taylor Swift"
8,"Everybody wonders what it would be like to love you","Chorus","Taylor Swift"
9,"Walk past, quick brush","Chorus","Taylor Swift"
10,"I don't like slow motion, double vision in rose blush","Chorus","Taylor Swift"
11,"I don't like that falling feels like flying 'til the bone crush","Chorus","Taylor Swift"
12,"Everybody wants you","Chorus","Taylor Swift"
13,"But I don't like a gold rush","Chorus","Taylor Swift"
14,"What must it be like to grow up that beautiful?","Verse 1","Taylor Swift"
15,"With your hair falling into place like dominoes","Verse 1","Taylor Swift"
16,"I see me padding across your wooden floors","Verse 1","Taylor Swift"
17,"With my Eagles t-shirt hanging from the door","Verse 1","Taylor Swift"
18,"At dinner parties, I call you out on your contrarian shit","Refrain","Taylor Swift"
19,"And the coastal town we wandered 'round had never seen a love as pure as it","Refrain","Taylor Swift"
20,"And then it fades into the gray of my day-old tea","Refrain","Taylor Swift"
21,"'Cause it could never be","Refrain","Taylor Swift"
22,"'Cause I don't like a gold rush, gold rush","Chorus","Taylor Swift"
23,"I don't like anticipatin' my face in a red flush","Chorus","Taylor Swift"
24,"I don't like that anyone would die to feel your touch","Chorus","Taylor Swift"
25,"Everybody wants you","Chorus","Taylor Swift"
26,"Everybody wonders what it would be like to love you","Chorus","Taylor Swift"
27,"Walk past, quick brush","Chorus","Taylor Swift"
28,"I don't like slow motion, double vision in rose blush","Chorus","Taylor Swift"
29,"I don't like that falling feels like flying 'til the bone crush","Chorus","Taylor Swift"
30,"Everybody wants you","Chorus","Taylor Swift"
31,"But I don't like a gold rush","Chorus","Taylor Swift"
32,"What must it be like to grow up that beautiful?","Verse 2","Taylor Swift"
33,"With your hair falling into place like dominoes","Verse 2","Taylor Swift"
34,"My mind turns your life into folklore","Verse 2","Taylor Swift"
35,"I can't dare to dream about you anymore","Verse 2","Taylor Swift"
36,"At dinner parties I won't call you out on your contrarian shit","Refrain","Taylor Swift"
37,"And the coastal town we never found will never see a love as pure as it","Refrain","Taylor Swift"
38,"'Cause it fades into the gray of my day-old tea","Refrain","Taylor Swift"
39,"'Cause it will never be","Refrain","Taylor Swift"
40,"Gleaming, twinkling","Outro","Taylor Swift"
41,"Eyes like sinking ships on waters","Outro","Taylor Swift"
42,"So inviting, I almost jump in","Outro","Taylor Swift"
